,name,con,proper,absmag,newra,newdec,newdist,newmag,spectral_type,temperature
0,Gaia 4050054693044929536,Sgr,,-2.386,347.96613272786556,-49.167207328426784,178.44278954532498,3.871495019123176,F,6590.567488674656
1,Gaia 4044109251362185216,Sgr,,-1.654,186.02720597630943,-66.85767066405435,262.90392046093234,5.4449853120809655,Undefined,
2,Gaia 4049761634483094528,Sgr,,-2.719,36.992311165604896,6.260549169153466,338.61709262382567,4.92954438263971,K,3878.152919486904
3,Gaia 4042653399273821184,Sgr,,-3.058,89.12340564630537,-41.591437850190495,460.54285001876985,5.258350221100134,Undefined,
4,Gaia 4051187391825733632,Sgr,,-2.778,351.9500644273439,-2.203305339737489,463.30023213196466,5.551312589010662,G,5229.944697155372
5,Gaia 4042876909344951296,Sgr,,-3.354,267.55489735856344,-74.56580744257526,582.3248476968245,5.471826608855307,Undefined,
6,Gaia 4057250721747530240,Sgr,,-4.035,130.8151015263761,15.26687496106131,593.4758117092292,4.832015115566122,K,3763.6701294642344
7,Gaia 4066374533618157056,Sgr,,-1.485,316.6055979495023,53.109097780904506,619.4730906956532,7.475112228974354,M,3622.873562214927
8,Gaia 4046808762927262208,Sgr,,-2.085,25.207658186819767,-15.46758242291187,650.3012100359553,6.980572810570398,Undefined,
9,Gaia 4051204193737779200,Sgr,,-1.547,54.29236849234534,23.80635055073945,671.2876468315184,7.587543276426104,B,10529.153581692834
10,Gaia 4064342429971516928,Sgr,,-1.515,114.83110879017198,51.499633061121415,720.577506797844,7.773403506348498,M,3390.5767311697728
11,Gaia 4038346612209097216,Sgr,,-2.27,74.21532169413791,-42.09982456466838,747.3920988468227,7.0977425116852775,Undefined,
12,Gaia 4049624646596488704,Sgr,,-4.521,73.85237821409335,19.074974846156827,751.5755351386088,4.858863173752142,Undefined,
13,Gaia 4043517095630196224,Sco,,-2.942,113.42147187120322,1.2885836338434495,763.116855192685,6.470955230269524,Undefined,
14,HIP 91514,Sgr,,-3.88,8.386326392100651,-2.324744081242436,766.475314355169,5.542490861105448,B,10695.372424505926
15,Gaia 4048137449644229632,Sgr,,-2.16,317.88882517114064,-22.91877815806885,784.5695946672885,7.313157367017002,A,8998.743459674297
16,Gaia 4053747020535962624,Sco,,-3.497,146.98411676393007,-23.48219578597376,788.9770853456369,5.98832194980845,Undefined,
17,Gaia 4037457583969638400,Sgr,,-2.139,98.33184492152168,-26.94114738403385,814.1461668003273,7.414511912260041,Undefined,
18,Gaia 6734233124997964800,Sgr,,-2.236,49.552154472378554,-33.10423726381604,870.4430621765459,7.462701840556395,Undefined,
19,Gaia 4037044923510780928,CrA,,-2.017,103.42110931958734,-50.80889227631891,872.0486370917974,7.685703538375721,Undefined,
20,Gaia 4046945338525418496,Sgr,,-0.89,338.73161307268646,-29.54177063035182,883.7425005237535,8.841628706896234,Undefined,
21,Gaia 6734658666026261504,Sgr,,-1.865,19.883404214788943,-47.615770799464045,888.2406996691776,7.877653344507916,Undefined,
22,Gaia 6734122688467528704,Sgr,,-2.128,51.46789640790215,-34.75662632845808,896.9136135608898,7.635753079431744,Undefined,
23,Gaia 4046405895045652992,Sgr,,-3.011,311.7329762408993,-36.68273146446477,898.6637609665394,6.7569861445854675,Undefined,
